iter	Passed	Remaining
651	3603	1923
652	3610	1918
653	3616	1913
654	3621	1907
655	3628	1902
656	3633	1896
657	3638	1891
658	3644	1885
659	3649	1879
660	3653	1873
661	3659	1868
662	3664	1862
663	3668	1856
664	3673	1850
665	3678	1844
666	3682	1838
667	3687	1832
668	3693	1827
669	3697	1821
670	3702	1815
671	3707	1809
672	3712	1803
673	3717	1798
674	3722	1792
675	3728	1787
676	3733	1781
677	3738	1775
678	3743	1769
679	3749	1764
680	3754	1758
681	3760	1753
682	3765	1747
683	3771	1742
684	3777	1736
685	3782	1731
686	3788	1726
687	3793	1720
688	3799	1714
689	3803	1708
690	3808	1703
691	3813	1697
692	3818	1691
693	3823	1685
694	3828	1680
695	3833	1674
696	3838	1668
697	3843	1662
698	3848	1657
699	3854	1651
700	3859	1646
701	3864	1640
702	3869	1634
703	3875	1629
704	3880	1623
705	3886	1618
706	3891	1612
707	3896	1606
708	3901	1601
709	3906	1595
710	3911	1590
711	3916	1584
712	3921	1578
713	3925	1572
714	3930	1566
715	3935	1561
716	3939	1555
717	3945	1549
718	3950	1543
719	3954	1537
720	3960	1532
721	3965	1526
722	3970	1521
723	3975	1515
724	3981	1510
725	3985	1504
726	3990	1498
727	3995	1493
728	4000	1487
729	4005	1481
730	4010	1475
731	4015	1470
732	4019	1464
733	4024	1458
734	4028	1452
735	4033	1446
736	4037	1440
737	4042	1435
738	4047	1429
739	4051	1423
740	4056	1417
741	4061	1412
742	4067	1406
743	4071	1400
744	4076	1395
745	4081	1389
746	4085	1383
747	4090	1378
748	4095	1372
749	4100	1366
750	4105	1361
751	4110	1355
752	4115	1350
753	4120	1344
754	4125	1338
755	4129	1332
756	4134	1327
757	4138	1321
758	4143	1315
759	4148	1309
760	4152	1304
761	4157	1298
762	4162	1292
763	4166	1287
764	4171	1281
765	4177	1276
766	4182	1270
767	4186	1264
768	4191	1259
769	4195	1253
770	4200	1247
771	4205	1242
772	4210	1236
773	4214	1230
774	4219	1224
775	4224	1219
776	4228	1213
777	4233	1207
778	4237	1202
779	4242	1196
780	4246	1190
781	4250	1185
782	4255	1179
783	4260	1173
784	4264	1168
785	4269	1162
786	4274	1157
787	4279	1151
788	4284	1145
789	4290	1140
790	4295	1134
791	4299	1129
792	4304	1123
793	4309	1118
794	4313	1112
795	4317	1106
796	4322	1101
797	4327	1095
798	4331	1089
799	4335	1083
800	4340	1078
801	4345	1072
802	4349	1067
803	4354	1061
804	4359	1055
805	4363	1050
806	4368	1044
807	4373	1039
808	4378	1033
809	4383	1028
810	4387	1022
811	4393	1017
812	4397	1011
813	4401	1005
814	4406	1000
815	4411	994
816	4416	989
817	4420	983
818	4425	978
819	4430	972
820	4435	967
821	4440	961
822	4445	956
823	4449	950
824	4454	944
825	4459	939
826	4463	933
827	4468	928
828	4473	922
829	4478	917
830	4483	911
831	4488	906
832	4492	900
833	4497	895
834	4502	889
835	4507	884
836	4511	878
837	4516	873
838	4521	867
839	4525	861
840	4529	856
841	4533	850
842	4538	845
843	4543	839
844	4547	834
845	4551	828
846	4556	823
847	4560	817
848	4565	811
849	4569	806
850	4575	801
851	4579	795
852	4583	789
853	4588	784
854	4593	778
855	4597	773
856	4602	767
857	4607	762
858	4611	756
859	4614	751
860	4619	745
861	4624	740
862	4628	734
863	4633	729
864	4638	723
865	4642	718
866	4647	712
867	4651	707
868	4656	701
869	4660	696
870	4665	690
871	4670	685
872	4675	680
873	4679	674
874	4684	669
875	4688	663
876	4692	658
877	4697	652
878	4702	647
879	4707	641
880	4711	636
881	4716	630
882	4721	625
883	4725	620
884	4730	614
885	4735	609
886	4740	603
887	4745	598
888	4750	593
889	4755	587
890	4759	582
891	4764	576
892	4769	571
893	4773	566
894	4778	560
895	4782	555
896	4787	549
897	4791	544
898	4796	538
899	4801	533
900	4805	528
901	4810	522
902	4814	517
903	4819	511
904	4824	506
905	4828	500
906	4832	495
907	4837	490
908	4842	484
909	4846	479
910	4851	473
911	4855	468
912	4859	463
913	4864	457
914	4869	452
915	4874	447
916	4878	441
917	4883	436
918	4888	430
919	4892	425
920	4896	420
921	4902	414
922	4906	409
923	4910	403
924	4915	398
925	4920	393
926	4925	387
927	4929	382
928	4934	377
929	4938	371
930	4943	366
931	4947	360
932	4952	355
933	4956	350
934	4960	344
935	4965	339
936	4970	334
937	4975	328
938	4979	323
939	4983	318
940	4987	312
941	4992	307
942	4997	302
943	5001	296
944	5005	291
945	5009	285
946	5014	280
947	5019	275
948	5024	269
949	5028	264
950	5034	259
951	5038	254
952	5042	248
953	5049	243
954	5054	238
955	5060	232
956	5064	227
957	5069	222
958	5073	216
959	5078	211
960	5082	206
961	5086	200
962	5091	195
963	5096	190
964	5100	185
965	5104	179
966	5109	174
967	5114	169
968	5118	163
969	5123	158
970	5128	153
971	5133	147
972	5137	142
973	5142	137
974	5147	131
975	5151	126
976	5155	121
977	5161	116
978	5166	110
979	5170	105
980	5175	100
981	5180	94
982	5184	89
983	5188	84
984	5193	79
985	5197	73
986	5201	68
987	5206	63
988	5211	57
989	5215	52
990	5220	47
991	5225	42
992	5230	36
993	5234	31
994	5238	26
995	5243	21
996	5247	15
997	5252	10
998	5257	5
999	5262	0
