iter	Logloss
0	0.4991697107
1	0.4198884571
2	0.3935773538
3	0.3692159136
4	0.3638043989
5	0.3537776044
6	0.3492273796
7	0.3413207026
8	0.3361561403
9	0.3339996382
10	0.3322622931
11	0.3307537339
12	0.3294625538
13	0.3283178424
14	0.3256206808
15	0.3247781823
16	0.3235810457
17	0.3221663516
18	0.321403801
19	0.3207190275
20	0.3193380881
21	0.3187458519
22	0.3180067093
23	0.3172540391
24	0.3168201594
25	0.3163692612
26	0.3159903214
27	0.3150451823
28	0.3144958876
29	0.3141350712
30	0.3137968619
31	0.3134436639
32	0.3131705199
33	0.3127484852
34	0.3124595285
35	0.312057714
36	0.3116879362
37	0.3114372097
38	0.3111852288
39	0.3108845028
40	0.3104426941
41	0.3101837616
42	0.3099653714
43	0.3096890306
44	0.3094324414
45	0.3092376385
46	0.309043106
47	0.3088269399
48	0.308655624
49	0.3085532858
50	0.3083626621
51	0.3080234335
52	0.3078849186
53	0.3077213915
54	0.3075371079
55	0.3073527107
56	0.3072269039
57	0.3071021192
58	0.3070287889
59	0.3067663177
60	0.3066109171
61	0.306478092
62	0.306333673
63	0.3062008519
64	0.3060787018
65	0.3059436209
66	0.305814563
67	0.3057532375
68	0.3056198031
69	0.3055077528
70	0.3053622558
71	0.3052415258
72	0.3051279165
73	0.3051165645
74	0.3050137075
75	0.3049019339
76	0.3047969378
77	0.3046980965
78	0.3045432063
79	0.3044516028
80	0.3043698067
81	0.3042305592
82	0.3041306919
83	0.3041306507
84	0.3040273712
85	0.3039388141
86	0.3038405779
87	0.3037352326
88	0.3036468916
89	0.3032817815
90	0.3032413675
91	0.3031643668
92	0.3031540678
93	0.3031446068
94	0.3030607554
95	0.3030440913
96	0.3030265181
97	0.3029459337
98	0.3029346925
99	0.3028650623
100	0.3027666355
101	0.3027552766
102	0.3027076676
103	0.3025870356
104	0.3025111539
105	0.3024203108
106	0.3023695028
107	0.3022773595
108	0.3022653874
109	0.3022507665
110	0.3022437663
111	0.3020683959
112	0.3019239664
113	0.3019235582
114	0.301842863
115	0.3017757086
116	0.3017110988
117	0.3016234614
118	0.3016027848
119	0.3015878982
120	0.3015086569
121	0.3014470139
122	0.3013723134
123	0.3012983798
124	0.3012284326
125	0.3011100514
126	0.3010434606
127	0.3010324179
128	0.300994453
129	0.3009457836
130	0.3008649005
131	0.3008406701
132	0.3008279483
133	0.3007487182
134	0.3007066453
135	0.3007057538
136	0.3006998172
137	0.3006939365
138	0.3006937704
139	0.3004185563
140	0.300408294
141	0.3003981931
142	0.3003921031
143	0.3003799366
144	0.3003757476
145	0.3003201632
146	0.3003110219
147	0.3002879507
148	0.3002363654
149	0.3002305528
150	0.3002148523
151	0.3002030419
152	0.3001992762
153	0.3001249541
154	0.3001229368
155	0.3001199853
156	0.3000494711
157	0.2999922342
158	0.2999917369
159	0.2999329684
160	0.2999303352
161	0.2998666404
162	0.2997994041
163	0.2997991933
164	0.2997977512
165	0.2997874243
166	0.2997816693
167	0.299712506
168	0.2997123461
169	0.2997121668
170	0.2997121354
171	0.2997060233
172	0.2997059414
173	0.2996388789
174	0.2995771802
175	0.2995049035
176	0.2994462877
177	0.2993969083
178	0.2993552552
179	0.2993058286
180	0.2992435318
181	0.2991891212
182	0.2991830292
183	0.2991829343
184	0.299133132
185	0.2991215174
186	0.2990553898
187	0.2989674814
188	0.2989168212
189	0.2989136497
190	0.2989134917
191	0.2988560158
192	0.2987779128
193	0.2987279761
194	0.2986655309
195	0.2985812484
